first_input_dim,second_input_dim,activation_type,batch_size,n_valid,learning_rate,threshold,reg,decay_rate,decay_freq,num_epochs,eval_step,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,ave_time
128,64,relu,16,5000,0.01,1e-05,0.001,0.95,5000,120,5,2.7095066529263905,0.6280444444444444,3.5418789172674567,0.5238,3.42347001547941,0.5339,20.19015550414721
128,64,leakyrelu,16,5000,0.01,1e-05,0.001,0.95,5000,120,5,2.7477729221639087,0.6281555555555556,3.405552931952334,0.538,3.4584432095932565,0.5339,17.44671748280525
128,64,softmax,16,5000,0.01,1e-05,0.001,0.95,5000,120,5,2.302579098619402,0.10286666666666666,2.3025730439726946,0.1072,2.3025851778774564,0.1,17.340954502423603
128,64,sigmoid,16,5000,0.01,1e-05,0.001,0.95,5000,120,5,2.0796987665436584,0.16591111111111112,2.086335643904735,0.1552,2.082315556094285,0.167,19.245635420084
128,64,leakyrelu,16,5000,0.02,1e-05,0.001,0.95,5000,200,5,2.414896887946664,0.6522666666666667,3.2364668013072833,0.5494,3.20811645262256,0.5409,22.19980674982071
128,64,leakyrelu,16,5000,0.005,1e-05,0.001,0.95,5000,200,5,2.8115989345685257,0.5933333333333334,3.540302497488841,0.5288,3.338310252025528,0.5246,22.69185177206993
128,64,leakyrelu,16,5000,0.01,1e-05,0.005,0.95,5000,120,5,2.1645266774608958,0.46773333333333333,2.2223512631537696,0.4572,2.158458255847406,0.4607,74.71768590609233
128,64,leakyrelu,16,5000,0.01,1e-05,0.01,0.95,5000,120,5,2.250193128261977,0.37235555555555555,2.258573362080152,0.3724,2.1842899810215197,0.372,16.844581033786138
128,64,leakyrelu,16,5000,0.01,1e-05,0.001,0.9,5000,120,5,2.773178183989376,0.5670666666666667,3.137254138330005,0.5308,3.1840443373144716,0.5196,43.95429406364759
